crimeCode,amount10UpTo21,amount21UpTo30,amount30UpTo40,amount40UpTo50,amount50UpTo60
------,185383,184458,152312,109806,67872
000000,197,353,340,259,169
010000,54,94,81,54,28
011000,9,11,7,3,1
012000,1,2,1,0,0
020000,131,212,167,108,56
030000,7,38,85,93,81
040000,3,8,6,3,2
100000,3060,2605,2878,2238,1301
110000,1017,1120,1081,780,419
111000,516,639,545,351,157
130000,1146,817,1042,838,528
131000,942,462,659,525,320
132000,122,244,292,238,162
140000,983,736,842,685,388
141000,12,43,57,42,19
142000,6,44,47,25,8
143000,930,523,643,577,345
143100,145,39,44,39,21
200000,45446,45059,40492,30379,17274
210000,5766,3058,1649,706,259
211000,25,58,40,20,8
212000,308,276,119,43,13
212100,52,52,17,4,1
212200,82,65,22,7,1
213000,10,18,7,3,0
213100,9,15,6,2,0
213200,0,1,1,0,0
214000,45,40,17,5,1
214100,24,17,6,1,0
216000,264,106,43,14,4
217000,3154,956,380,138,40
218000,35,28,10,2,0
219000,347,400,236,100,31
220000,36289,34973,30213,21854,11817
221000,19,21,17,12,7
222000,17433,12921,8253,5056,2544
222100,9697,5693,2829,1526,729
223000,53,288,531,374,141
223100,44,264,420,232,78
224000,20932,23098,21794,15968,8336
230000,8023,10798,11801,9773,6045
231000,38,154,236,131,44
232000,7968,10594,11527,9619,5990
233000,10,22,14,6,2
233100,0,1,1,0,0
233200,0,0,0,0,0
234000,4,11,9,4,1
234100,0,0,0,0,0
234200,0,0,0,0,0
371000,0,1,1,0,0
372000,1,4,3,1,0
373000,2,10,11,5,2
374000,1,0,0,0,0
375000,6,29,20,5,1
471000,4,13,8,1,0
472000,2,8,5,1,0
473000,1,3,2,0,0
474000,0,0,0,0,0
475000,0,3,2,0,0
500000,28589,51093,42823,30179,16954
510000,23164,41189,33042,22709,12505
511000,3480,10696,9511,6397,3371
511100,50,228,232,149,70
511200,2165,7172,6562,4621,2504
511300,1401,3738,3011,1766,849
513000,3,48,116,135,91
513100,0,2,8,9,5
514000,79,406,535,478,301
514100,6,32,44,39,22
514200,8,59,110,122,100
514300,61,304,365,302,168
515000,13190,15805,8398,4293,1956
516000,1198,1731,1180,627,272
516200,241,421,285,144,56
516300,598,678,441,243,101
516500,152,275,196,104,54
517000,6698,15409,15283,11896,6986
517100,525,1170,1206,961,572
517200,580,1908,2285,1914,1049
517400,135,631,608,389,208
517500,300,435,336,220,106
517600,23,102,94,74,43
520000,161,865,1792,2000,1398
521000,35,221,509,711,596
522000,27,430,1167,1251,801
523000,99,222,146,79,29
530000,3179,5079,4562,3394,1893
531000,167,693,821,635,332
540000,3170,6113,5183,3106,1566
541000,9,121,198,178,97
