crimeCode,amount10UpTo21,amount21UpTo30,amount30UpTo40,amount40UpTo50,amount50UpTo60
------,185383,199963,129399,86220,53784
000000,197,377,283,205,135
010000,54,101,67,43,22
011000,9,12,5,2,0
012000,1,2,1,0,0
020000,131,226,139,86,45
030000,7,40,71,73,65
040000,3,9,5,2,2
100000,3060,2842,2440,1763,1015
110000,1017,1221,918,618,322
111000,516,696,464,275,123
130000,1146,886,878,658,421
131000,942,500,554,414,257
132000,122,264,245,187,127
140000,983,809,718,538,298
141000,12,45,43,35,17
142000,6,48,37,20,7
143000,930,582,560,450,261
143100,145,43,38,30,17
200000,45446,49109,34923,23665,13336
210000,5766,3310,1405,556,203
211000,25,61,31,16,7
212000,308,299,99,34,10
212100,52,56,15,3,0
212200,82,70,18,5,1
213000,10,18,6,2,0
213100,9,16,5,1,0
213200,0,1,0,0,0
214000,45,43,14,4,1
214100,24,18,5,1,0
216000,264,114,36,11,3
217000,3154,1036,324,109,31
218000,35,30,9,2,0
219000,347,432,200,79,24
220000,36289,38145,26077,17035,9130
221000,19,22,13,10,6
222000,17433,14127,7114,3960,1979
222100,9697,6227,2480,1191,558
223000,53,313,459,291,108
223100,44,288,365,180,59
224000,20932,25189,18868,12425,6418
230000,8023,11767,10191,7597,4655
231000,38,167,199,103,35
232000,7968,11545,9957,7477,4612
233000,10,24,12,5,1
233100,0,1,0,0,0
233200,0,0,0,0,0
234000,4,12,7,3,1
234100,0,0,0,0,0
234200,0,0,0,0,0
371000,0,1,1,0,0
372000,1,4,2,0,0
373000,2,11,9,3,1
374000,1,0,0,0,0
375000,6,30,16,4,1
471000,4,14,6,1,0
472000,2,8,4,1,0
473000,1,3,2,0,0
474000,0,0,0,0,0
475000,0,3,1,0,0
500000,28589,55623,36633,23567,13508
510000,23164,44929,28414,17693,9972
511000,3480,11772,8430,4909,2612
511100,50,245,192,118,57
511200,2165,7919,5794,3535,1961
511300,1401,4091,2709,1362,634
513000,3,52,94,107,76
513100,0,3,6,7,4
514000,79,440,458,378,238
514100,6,35,37,30,18
514200,8,65,94,101,74
514300,61,328,316,234,136
515000,13190,17194,7349,3344,1508
516000,1198,1885,991,495,216
516200,241,461,236,117,47
516300,598,746,376,188,79
516500,152,294,172,82,40
517000,6698,16761,12829,9324,5693
517100,525,1252,992,765,464
517200,580,2103,1980,1463,854
517400,135,680,497,308,170
517500,300,479,299,168,80
517600,23,111,81,57,35
520000,161,964,1489,1566,1165
521000,35,240,429,551,483
522000,27,479,957,987,683
523000,99,254,128,59,24
530000,3179,5539,3875,2649,1487
531000,167,742,689,500,262
540000,3170,6530,4345,2467,1217
541000,9,131,157,142,83
542000,21,108,72,25,7
543000,70,180,144,93,48
550000,217,362,220,134,76
551000,87,140,76,44,23
552000,127,193,118,78,47
553000,5,31,24,10,4
560000,7,133,339,422,332
561000,5,102,258,322,250
562000,0,1,2,3,2
563000,1,37,99,123,99
564000,0,3,12,16,12
565000,0,2,3,3,3
600000,45928,40055,28559,20935,13648
610000,678,463,338,210,113
611000,15,17,9,5,2
620000,10510,10552,6370,4152,2466
621000,1678,2987,1701,904,413
622000,4456,3829,2564,1783,1169
623000,709,585,114,30,7
624000,1198,1251,718,470,273
624100,167,144,73,44,25
624200,153,309,182,106,53
626000,73,28,16,9,4
626100,26,3,2,1,0
630000,2437,2915,1810,1010,497
631000,85,185,142,74,29
631100,3,20,18,9,3
632000,1753,1813,1082,552,237
632100,24,103,93,52,24
640000,1221,680,526,426,329
641000,657,310,196,129,75
650000,25,314,415,375,291
660000,267,513,485,377,234
661000,15,124,165,124,68
662000,232,293,218,155,96
662100,9,17,20,24,25
663000,8,40,25,21,13
670000,34372,27623,20470,15470,10276
671000,32,617,1372,1022,247
672000,17,130,167,85,25
673000,8944,11739,9778,7780,5633
674000,23274,11940,6333,3878,2230
674100,4841,3385,1789,1117,663
674200,51,60,44,28,13
674300,6105,1968,670,353,205
674500,32,36,15,6,2
675000,52,44,24,14,9
675200,51,42,22,12,8
675400,1,2,1,0,0
676000,276,840,878,919,776
676100,39,88,143,188,186
676200,1,5,9,15,14
676300,0,1,1,2,1
676400,211,670,612,585,459
676500,3,26,52,69,64
676600,0,4,7,9,8
676700,0,0,1,2,3
676800,1,5,12,12,7
676900,2,2,1,2,2
677000,0,0,0,0,0
678000,85,138,107,64,30
700000,36102,56756,27529,12167,5108
710000,619,1608,1870,1748,1206
712000,8,212,545,688,547
712200,4,91,230,291,216
713000,7,68,99,98,55
714000,0,9,18,17,12
715000,407,587,495,369,204
715100,39,72,48,32,17
716000,97,439,484,411,287
716100,8,113,210,224,165
716300,0,4,13,20,21
719000,98,300,241,176,106
720000,13194,25604,13788,6535,2780
721000,2,5,7,6,3
722000,8,15,15,10,5
724000,4,11,5,2,1
725000,9395,21386,11407,4968,1810
725100,3455,6888,3402,1373,460
725200,56,345,312,190,84
725300,131,646,484,222,85
725500,706,1868,670,159,26
726000,3197,3097,1633,1048,693
726200,2950,2825,1502,989,663
726300,23,63,44,30,19
728000,3,14,19,19,13
730000,23104,30828,12317,3840,937
731000,18297,22717,9033,2680,581
731100,682,2502,1382,445,81
731200,454,1609,1043,383,78
731300,88,75,17,3,0
731800,14640,14351,4552,1304,315
731900,980,1322,728,246,60
732000,5441,7595,2756,867,219
732100,371,1142,592,205,45
732200,329,772,398,140,34
732300,41,34,6,1,0
732800,3875,4289,1218,355,95
732900,241,362,192,80,25
733000,307,658,272,103,32
733100,27,118,66,25,7
733200,15,88,58,25,8
733300,2,2,0,0,0
733800,223,343,96,34,10
733900,11,25,14,6,2
734000,625,1948,1027,408,147
734100,183,398,252,121,52
734200,59,171,95,36,12
734300,5,5,2,1,0
734400,1,1,0,0,0
734500,3,323,100,41,11
734600,1,4,2,1,0
734700,1,1,1,3,5
740000,215,351,330,316,267
741000,2,16,31,36,32
742000,52,65,41,28,15
743000,154,252,241,237,209
891000,23142,30937,12393,3869,947
891100,75,194,115,38,10
892000,22677,17952,8993,4859,2360
893000,284,1533,2254,2346,1748
893100,155,694,836,796,570
896000,181,68,64,48,27
897000,1321,2116,1324,737,339
899000,35006,20236,8648,4347,2147
year,0,0,0,0,0
