crimeCode,amount10UpTo21,amount21UpTo30,amount30UpTo40,amount40UpTo50,amount50UpTo60
------,15761263,15514219,12817849,9239005,5670907
000000,16672,29726,28856,22026,14234
010000,4628,8031,6934,4605,2387
011000,840,1000,614,292,95
012000,104,176,169,75,34
020000,11102,17845,14183,9180,4771
030000,660,3221,7314,7970,6880
040000,334,740,541,326,235
100000,250058,217078,242167,187809,107970
110000,84316,92646,90510,65367,34565
111000,42980,53259,45908,29589,13069
130000,95485,68549,88040,70810,44300
131000,78334,38768,55755,44354,26938
132000,10390,20476,24667,20097,13526
140000,77329,61562,70881,57231,31979
141000,1039,3751,5010,3685,1716
142000,601,3874,4081,2199,751
143000,72747,43228,53725,47858,28303
143100,11659,3289,3749,3335,1830
200000,3850525,3770272,3388495,2537347,1427987
210000,493607,258214,138231,59129,21598
211000,2185,5048,3544,1748,721
212000,26174,23527,10159,3706,1129
212100,4381,4395,1457,402,85
212200,6961,5553,1895,623,150
213000,874,1540,669,268,62
213100,817,1335,525,182,41
213200,22,115,103,59,11
214000,3935,3503,1521,458,118
214100,2084,1463,569,154,37
216000,22908,9138,3711,1249,356
217000,270310,80675,31874,11522,3387
218000,3029,2398,920,212,26
219000,29666,33701,19810,8429,2588
220000,3072290,2923580,2527286,1825639,977193
221000,1723,1819,1555,1054,650
222000,1482010,1083781,690547,422490,210955
222100,820769,474695,234756,126472,60141
223000,4518,24122,44453,31316,11673
223100,3734,22098,35061,19343,6458
224000,1765015,1926200,1820797,1332428,688396
230000,676892,903543,987042,815466,499212
231000,3239,13114,19947,11082,3709
232000,672268,886334,964047,802547,494640
233000,921,1922,1264,545,206
233100,31,104,90,56,22
233200,26,54,38,24,7
234000,410,989,791,429,136
234100,12,59,55,41,15
234200,11,21,20,8,1
371000,83,137,122,41,15
372000,135,354,271,102,23
373000,203,879,942,412,170
374000,96,64,41,22,7
375000,596,2513,1733,468,110
471000,420,1183,686,141,14
472000,252,699,494,151,24
473000,91,257,233,73,24
474000,38,30,14,8,6
475000,72,287,197,58,6
500000,2420062,4297867,3607625,2541595,1419387
510000,1959291,3459802,2780222,1911702,1047409
511000,290825,891530,792498,533299,279124
511100,4293,19469,19857,12709,5975
511200,182882,601753,549981,387131,208259
511300,114982,306703,247005,145026,69306
513000,313,4169,10039,11592,7816
513100,28,255,717,821,469
514000,6657,33865,44902,40042,25148
514100,569,2765,3896,3364,1912
514200,619,4711,8948,9913,8134
514300,5209,25465,30773,25493,14212
515000,1115292,1318724,696878,356731,161671
516000,102894,147247,99942,52959,22820
516200,20779,36159,24378,12396,4819
516300,51669,57841,37376,20464,8453
516500,12615,22529,16085,8567,4429
517000,567484,1306813,1301562,1010685,590434
517100,45595,99786,102839,81618,48338
517200,48913,160965,194173,162405,88638
517400,11705,54381,52458,33330,17648
517500,25700,36302,27879,18282,8725
517600,2004,8642,8058,6327,3686
520000,13990,74413,154858,171673,119180
521000,3013,18744,43649,60496,50256
522000,2356,37172,101370,108018,68946
523000,8668,19279,12597,6775,2477
530000,269975,430119,385396,285678,157601
531000,14386,58915,69584,53455,27766
540000,269523,515885,435700,259879,129789
541000,858,10594,17303,15469,8451
542000,1841,8862,7368,2745,780
543000,5748,13436,12553,9798,5511
550000,18322,27829,21969,14451,8016
551000,7523,10871,8061,4869,2304
552000,10571,14726,11583,8302,5086
553000,494,2360,2244,1173,536
560000,593,10172,34345,46393,34254
561000,472,7805,25795,35261,26037
562000,7,95,288,348,245
563000,104,2822,10253,13533,10099
564000,14,295,1280,1826,1251
565000,31,169,311,397,310
600000,3906302,3099146,2827395,2245535,1451034
610000,58026,35918,33269,22487,12127
611000,1281,1310,926,553,259
620000,887876,818375,629248,442304,264129
621000,140990,229491,167057,95558,44352
622000,369993,283476,233469,193435,127641
623000,60716,45889,11118,3208,808
624000,102690,99254,74207,50747,28626
624100,14386,11474,7666,4824,2658
624200,13191,25306,19504,11334,5567
626000,6051,2216,1692,994,444
626100,2131,260,244,160,49
630000,208906,227131,176699,107311,53528
631000,7329,14773,14172,7896,3088
631100,267,1628,1856,1017,357
632000,150899,142339,107199,59216,24976
632100,2089,8057,9226,5657,2556
640000,104571,52846,53356,46086,34763
641000,55733,24152,19710,13868,8003
650000,2134,24707,42489,40941,30505
660000,23046,40099,49594,40243,24497
661000,1366,9975,17545,13132,7078
662000,20144,22884,22080,16662,10165
662100,843,1436,2177,2676,2623
663000,633,2951,2422,2145,1492
670000,2925965,2132380,2024573,1661904,1091596
671000,2824,49018,145930,113022,25290
672000,1500,10167,16442,9317,2763
673000,749579,897484,943956,833060,603347
674000,1993186,925020,627906,415602,236805
674100,415252,263591,179238,119943,70259
674200,4255,4511,4085,3026,1461
674300,515313,148838,61477,37029,22675
674500,2831,2852,1553,730,254
675000,4373,3434,2377,1480,954
675200,4225,3227,2208,1357,892
675400,151,213,157,95,45
676000,23978,67443,94835,98174,79973
676100,3355,7328,15569,19911,19188
676200,111,433,1063,1605,1488
676300,52,88,154,213,183
676400,18439,53828,66392,62490,47294
676500,275,2201,5696,7369,6641
676600,74,357,783,1021,886
676700,30,60,190,257,311
676800,94,442,1149,1364,799
676900,235,199,206,229,232
677000,35,35,54,54,40
678000,6963,10328,9463,6885,3463
